GeneID,Chromosome,Start,End,Strand,Length,SRR21835898,SRR21835899,SRR21835896,SRR21835897,SRR21835900,SRR21835901
SAUSA300_0357,CP000255.1,408068,410296,-,2229,103,101,102,140,85,112
SAUSA300_0358,CP000255.1,410293,412134,-,1842,78,78,63,85,66,75
SAUSA300_0359,CP000255.1,412103,413263,-,1161,20,16,17,42,22,16
SAUSA300_0360,CP000255.1,413260,414363,-,1104,23,12,16,7,6,10
SAUSA300_0361,CP000255.1,415027,415872,+,846,2,6,10,10,32,26
SAUSA300_0362,CP000255.1,416029,416910,+,882,21,30,27,21,28,42
SAUSA300_0363,CP000255.1,416940,417143,+,204,18,42,17,10,32,49
SAUSA300_0364,CP000255.1,417155,418252,+,1098,148,143,86,146,184,180
SAUSA300_0365,CP000255.1,418338,418529,-,192,17,16,14,12,7,12
SAUSA300_0366,CP000255.1,418773,419069,+,297,2489,1437,2914,2849,1111,1330
SAUSA300_0367,CP000255.1,419090,419593,+,504,4013,1873,3149,4799,1425,1532
SAUSA300_0368,CP000255.1,419645,419887,+,243,117,60,94,165,49,61
SAUSA300_0369,CP000255.1,420153,421091,-,939,2,0,0,0,0,2
SAUSA300_0370,CP000255.1,422037,422648,+,612,15,8,12,16,12,10
SAUSA300_0371,CP000255.1,423017,423385,+,369,0,0,0,0,0,4
SAUSA300_0372,CP000255.1,423566,424138,+,573,20443,14552,10787,18979,12671,11195
SAUSA300_0373,CP000255.1,424276,424539,-,264,57,54,36,59,49,57
SAUSA300_0374,CP000255.1,424839,425090,+,252,3423,6896,2625,3892,6139,4964
SAUSA300_0375,CP000255.1,425516,426097,+,582,27,30,21,21,8,33
SAUSA300_0376,CP000255.1,426163,426546,-,384,165,144,121,156,158,115
SAUSA300_0377,CP000255.1,426801,427427,-,627,98,176,174,104,187,247
SAUSA300_0378,CP000255.1,427500,427793,-,294,3,2,1,0,0,0
SAUSA300_0379,CP000255.1,427872,429395,-,1524,2141,12138,1997,2167,10762,9668
SAUSA300_0380,CP000255.1,429411,429980,-,570,345,3495,385,410,3015,2765
SAUSA300_0381,CP000255.1,430472,431227,+,756,188,308,240,270,267,333
SAUSA300_0382,CP000255.1,431308,432696,-,1389,5093,1092,4491,4886,1235,1094
SAUSA300_0383,CP000255.1,433673,434629,-,957,73,116,39,58,137,126
SAUSA300_0384,CP000255.1,434747,435409,-,663,867,675,1036,815,790,654
SAUSA300_0385,CP000255.1,435552,435959,-,408,1861,1781,1661,2080,2130,1864
SAUSA300_0386,CP000255.1,436472,437050,+,579,147,79,105,146,68,75
SAUSA300_0387,CP000255.1,437050,438318,+,1269,342,274,292,398,310,209
SAUSA300_0388,CP000255.1,438356,439822,+,1467,680,681,581,730,584,606
SAUSA300_0389,CP000255.1,439847,441388,+,1542,554,456,514,698,499,413
SAUSA300_0390,CP000255.1,441501,442037,-,537,0,5,6,6,6,16
SAUSA300_0391,CP000255.1,442430,443134,-,705,0,2,4,0,0,2
SAUSA300_0392,CP000255.1,444066,444218,-,153,9,2,2,8,6,4
SAUSA300_0393,CP000255.1,444742,445101,-,360,37,98,47,27,91,61
SAUSA300_0394,CP000255.1,445120,445965,-,846,94,206,69,86,214,188
SAUSA300_0395,CP000255.1,446437,447117,+,681,20,123,34,32,117,118
SAUSA300_0396,CP000255.1,447403,448098,+,696,2,2,4,4,6,3
SAUSA300_0397,CP000255.1,448389,449447,+,1059,26,30,6,8,28,38
SAUSA300_0398,CP000255.1,449812,450738,+,927,2,1,4,4,4,0
SAUSA300_0399,CP000255.1,451102,451806,+,705,2,10,0,2,8,10
SAUSA300_0400,CP000255.1,452252,452947,+,696,0,8,2,0,2,2
SAUSA300_0401,CP000255.1,453368,454063,+,696,2,11,6,2,10,14
SAUSA300_0402,CP000255.1,454407,455105,+,699,4,6,0,2,4,0
SAUSA300_0403,CP000255.1,455485,456183,+,699,4,2,2,0,2,2
SAUSA300_0404,CP000255.1,456549,457232,+,684,4,6,0,0,4,10
SAUSA300_0405,CP000255.1,457496,459052,+,1557,13,6,10,26,12,8
SAUSA300_0406,CP000255.1,459045,460256,+,1212,8,2,4,6,8,6
SAUSA300_0407,CP000255.1,460639,461316,+,678,0,0,0,0,0,0
SAUSA300_0408,CP000255.1,461338,462846,+,1509,6,6,0,10,6,12
SAUSA300_0409,CP000255.1,462949,463257,-,309,97,256,36,104,280,216
SAUSA300_0410,CP000255.1,463595,464398,+,804,1,0,0,0,0,0
SAUSA300_0411,CP000255.1,464429,465229,+,801,1,0,1,0,4,4
SAUSA300_0413,CP000255.1,466101,466904,+,804,3,6,2,4,0,2
SAUSA300_0414,CP000255.1,466923,467693,+,771,0,0,0,0,2,2
SAUSA300_0415,CP000255.1,467725,468516,+,792,2,0,0,4,4,0
SAUSA300_0416,CP000255.1,468586,469362,+,777,0,2,0,0,0,0
SAUSA300_0417,CP000255.1,469538,470353,+,816,0,4,2,1,6,2
SAUSA300_0418,CP000255.1,470372,471157,+,786,8,24,4,7,20,7
SAUSA300_0419,CP000255.1,471340,472152,+,813,4,37,4,6,28,20
SAUSA300_0420,CP000255.1,472142,473470,+,1329,36,257,52,42,184,232
SAUSA300_0421,CP000255.1,473467,473790,+,324,3,35,13,14,17,41
SAUSA300_0422,CP000255.1,473809,474123,+,315,14,42,14,17,30,34
SAUSA300_0423,CP000255.1,474413,474673,-,261,16,14,10,12,22,20
SAUSA300_0424,CP000255.1,474792,475994,+,1203,28,16,34,32,12,10
SAUSA300_0425,CP000255.1,477582,479066,+,1485,277,848,258,244,790,882
SAUSA300_0426,CP000255.1,479079,481784,+,2706,1518,2582,1315,1401,2295,2549
SAUSA300_0427,CP000255.1,481946,482308,+,363,350,705,387,303,587,788
SAUSA300_0428,CP000255.1,482537,482953,-,417,0,1,2,0,3,0
SAUSA300_0429,CP000255.1,482991,483665,+,675,107,189,104,89,194,250
SAUSA300_0430,CP000255.1,483702,484436,+,735,116,310,116,144,301,348
SAUSA300_0431,CP000255.1,484614,484727,+,114,0,0,0,0,0,2
SAUSA300_0432,CP000255.1,484892,486229,+,1338,16,6,16,18,24,8
SAUSA300_0433,CP000255.1,486446,487360,+,915,6,6,0,4,10,11
SAUSA300_0434,CP000255.1,487344,488486,+,1143,12,20,8,14,28,28
SAUSA300_0435,CP000255.1,488780,489805,+,1026,52,45,58,54,58,71
SAUSA300_0436,CP000255.1,489809,490468,+,660,86,30,60,88,43,39
SAUSA300_0437,CP000255.1,490505,491347,+,843,615,298,645,637,265,249
SAUSA300_0438,CP000255.1,491679,492683,+,1005,212,141,158,158,128,142
SAUSA300_0439,CP000255.1,492868,493137,-,270,16,32,14,19,60,42
SAUSA300_0440,CP000255.1,493286,493681,+,396,34,45,25,23,51,58
SAUSA300_0441,CP000255.1,493671,494156,+,486,121,170,133,126,164,209
SAUSA300_0442,CP000255.1,494325,495107,-,783,70,229,50,62,231,148
SAUSA300_0443,CP000255.1,495104,496216,-,1113,13,82,24,34,69,75
SAUSA300_0444,CP000255.1,496337,497221,-,885,6,2,2,6,1,8
SAUSA300_0445,CP000255.1,497402,501901,+,4500,1316,3425,1439,1363,2816,3138
SAUSA300_0446,CP000255.1,501919,503382,+,1464,1089,2090,1036,1368,1829,1980
SAUSA300_0448,CP000255.1,504214,505641,+,1428,2019,2234,1695,2390,1910,2473
SAUSA300_0449,CP000255.1,505705,507345,+,1641,887,769,843,1034,756,889
SAUSA300_0450,CP000255.1,507370,508098,+,729,223,209,217,267,216,226
SAUSA300_0451,CP000255.1,508737,509261,+,525,18,31,42,21,52,30
SAUSA300_0452,CP000255.1,509354,511027,+,1674,318,480,270,241,329,416
SAUSA300_0453,CP000255.1,511117,511434,+,318,166,252,132,172,245,201
SAUSA300_0454,CP000255.1,511441,512037,+,597,466,616,401,501,632,628
SAUSA300_0458,CP000255.1,518801,520138,+,1338,37,41,18,15,28,33
SAUSA300_0459,CP000255.1,520140,520757,+,618,30,33,17,25,45,31
SAUSA300_0460,CP000255.1,520785,521114,+,330,203,326,116,275,304,284
SAUSA300_0461,CP000255.1,521328,522254,+,927,8,11,2,2,8,6
SAUSA300_0462,CP000255.1,522255,523058,+,804,33,65,31,35,49,29
SAUSA300_0463,CP000255.1,523105,523422,+,318,7,16,3,5,15,7
SAUSA300_0464,CP000255.1,523696,524421,+,726,2,14,12,2,2,2
SAUSA300_0465,CP000255.1,524414,524662,+,249,3,5,2,5,2,9
SAUSA300_0466,CP000255.1,524664,525503,+,840,4,4,0,2,10,8
SAUSA300_0467,CP000255.1,525789,527762,+,1974,308,340,343,336,237,305
SAUSA300_0468,CP000255.1,527793,528566,+,774,243,201,166,212,141,193
SAUSA300_0469,CP000255.1,528733,529269,+,537,44,75,37,51,43,71
SAUSA300_0470,CP000255.1,529280,530173,+,894,29,26,22,29,29,45
SAUSA300_0471,CP000255.1,530273,530536,+,264,16,28,18,8,23,42
SAUSA300_0472,CP000255.1,530846,531694,+,849,70,40,72,52,39,50
SAUSA300_0473,CP000255.1,531708,532532,+,825,491,410,454,451,447,428
SAUSA300_0474,CP000255.1,532549,532929,+,381,4778,9399,6798,5204,6588,10943
SAUSA300_0475,CP000255.1,533001,533303,+,303,3165,3510,2986,3277,3806,3604
SAUSA300_0476,CP000255.1,533493,533624,+,132,1,1,0,0,3,2
SAUSA300_0477,CP000255.1,533647,534999,+,1353,440,600,393,393,686,501
SAUSA300_0478,CP000255.1,535146,536111,+,966,593,893,611,684,905,833
SAUSA300_0479,CP000255.1,536261,536914,+,654,1900,550,1204,1947,549,612
SAUSA300_0480,CP000255.1,537225,537797,+,573,6,14,2,3,2,4
SAUSA300_0481,CP000255.1,537797,541303,+,3507,155,149,139,168,147,124
SAUSA300_0482,CP000255.1,541293,542819,+,1527,153,208,124,85,168,206
SAUSA300_0483,CP000255.1,542819,544012,+,1194,167,375,215,193,331,386
SAUSA300_0484,CP000255.1,544009,544272,+,264,61,131,106,70,129,158
SAUSA300_0485,CP000255.1,544290,544682,+,393,97,132,91,90,149,105
SAUSA300_0486,CP000255.1,544787,545188,+,402,223,346,170,231,365,365
SAUSA300_0487,CP000255.1,545368,546663,+,1296,2,5,0,4,0,7
SAUSA300_0488,CP000255.1,546656,547207,+,552,0,2,1,2,3,3
SAUSA300_0489,CP000255.1,547464,549557,+,2094,640,1025,679,816,904,1131
SAUSA300_0490,CP000255.1,549786,550667,+,882,44,48,20,36,51,62
SAUSA300_0491,CP000255.1,550846,551778,+,933,1892,2957,1526,2255,3315,3586
SAUSA300_0492,CP000255.1,551994,552797,+,804,31,38,36,34,35,48
SAUSA300_0493,CP000255.1,552775,553140,+,366,7,23,21,10,9,19
SAUSA300_0494,CP000255.1,553137,553613,+,477,37,49,38,37,29,64
SAUSA300_0495,CP000255.1,554007,554099,+,93,5,33,17,14,27,49
SAUSA300_0496,CP000255.1,554152,555639,+,1488,746,1105,816,832,1038,1170
SAUSA300_0503,CP000255.1,562046,563428,-,1383,16,6,15,14,2,6
SAUSA300_0504,CP000255.1,563532,564419,+,888,852,132,924,1044,131,163
SAUSA300_0505,CP000255.1,564423,564983,+,561,514,114,907,637,104,157
SAUSA300_0506,CP000255.1,565191,566405,-,1215,128,44,92,120,64,32
SAUSA300_0507,CP000255.1,566563,567024,+,462,344,697,182,268,670,529
SAUSA300_0508,CP000255.1,567121,567609,+,489,222,439,96,183,567,367
SAUSA300_0509,CP000255.1,567599,568606,+,1008,297,1060,196,272,839,899
SAUSA300_0510,CP000255.1,568620,571076,+,2457,1139,2875,1139,1029,2620,3059
SAUSA300_0511,CP000255.1,571591,572925,+,1335,163,159,181,162,171,168
SAUSA300_0512,CP000255.1,572968,574023,+,1056,66,89,58,58,108,146
SAUSA300_0513,CP000255.1,574580,576034,+,1455,142,256,136,156,206,211
SAUSA300_0514,CP000255.1,576457,577104,+,648,75,183,65,49,160,156
SAUSA300_0515,CP000255.1,577088,578488,+,1401,340,612,313,338,670,546
SAUSA300_0516,CP000255.1,578481,578885,+,405,43,84,37,44,68,84
SAUSA300_0517,CP000255.1,578893,579639,+,747,277,596,323,296,558,524
SAUSA300_0518,CP000255.1,579639,580163,+,525,193,492,253,234,410,460
SAUSA300_0519,CP000255.1,580244,580813,+,570,38,93,48,36,62,105
SAUSA300_0520,CP000255.1,581127,581309,+,183,13,44,10,26,46,31
SAUSA300_0521,CP000255.1,581322,581870,+,549,188,489,178,157,437,459
SAUSA300_0522,CP000255.1,582051,582473,+,423,2289,1397,1318,2307,1337,1329
SAUSA300_0523,CP000255.1,582681,583373,+,693,180,198,176,203,211,199
SAUSA300_0524,CP000255.1,583645,584145,+,501,1197,330,1618,1378,369,349
SAUSA300_0525,CP000255.1,584188,584556,+,369,819,164,550,765,176,164
SAUSA300_0526,CP000255.1,584731,585339,+,609,12,19,8,25,12,9
SAUSA300_0527,CP000255.1,585695,589105,+,3411,1740,2117,1892,2072,1695,1801
SAUSA300_0528,CP000255.1,589269,592865,+,3597,2492,2118,2371,2590,1897,1929
SAUSA300_0529,CP000255.1,593002,593256,+,255,196,397,146,249,354,366
SAUSA300_0530,CP000255.1,593354,593767,+,414,1189,2103,917,1360,1958,1709
SAUSA300_0531,CP000255.1,593924,594304,+,381,2330,3230,2330,2616,3052,2805
SAUSA300_0532,CP000255.1,594427,596508,+,2082,17185,18054,17011,17746,16648,16356
SAUSA300_0533,CP000255.1,596725,597909,+,1185,11094,9602,9709,11880,10259,8996
SAUSA300_0534,CP000255.1,598191,599366,-,1176,78,86,31,42,62,82
SAUSA300_0535,CP000255.1,599537,600724,+,1188,886,2125,1200,1040,2127,2282
SAUSA300_0536,CP000255.1,600990,601868,+,879,2697,3797,2938,3095,3304,4006
SAUSA300_0537,CP000255.1,602028,603665,+,1638,255,111,263,274,156,154
SAUSA300_0538,CP000255.1,603879,604844,+,966,612,608,550,572,672,792
SAUSA300_0539,CP000255.1,605179,606255,+,1077,325,731,241,362,604,624
SAUSA300_0540,CP000255.1,606505,607188,+,684,24,22,8,20,28,12
SAUSA300_0541,CP000255.1,607304,607966,-,663,24,12,26,29,16,24
SAUSA300_0542,CP000255.1,607959,608576,-,618,2,1,0,2,0,1
SAUSA300_0543,CP000255.1,608643,609113,+,471,6,3,8,2,1,3
SAUSA300_0544,CP000255.1,609260,610129,+,870,2,10,8,26,5,9
SAUSA300_0545,CP000255.1,610150,610716,+,567,5,8,8,4,8,18
SAUSA300_0546,CP000255.1,611147,613990,+,2844,132,66,114,126,72,54
SAUSA300_0547,CP000255.1,614357,618502,+,4146,68,44,68,68,71,36
SAUSA300_0548,CP000255.1,618896,622360,+,3465,138,156,168,128,144,138
SAUSA300_0549,CP000255.1,622479,623951,+,1473,75,66,70,47,84,92
SAUSA300_0550,CP000255.1,624075,625565,-,1491,205,358,278,217,408,477
SAUSA300_0551,CP000255.1,625847,626725,-,879,128,195,131,108,219,136
SAUSA300_0552,CP000255.1,626738,627403,-,666,53,110,37,51,93,99
SAUSA300_0553,CP000255.1,627417,627779,-,363,35,69,15,27,65,57
SAUSA300_0554,CP000255.1,628055,628813,+,759,166,120,93,117,144,148
SAUSA300_0555,CP000255.1,628890,629522,+,633,421,705,514,502,736,762
SAUSA300_0556,CP000255.1,629569,630072,+,504,691,1080,702,648,1234,1283
SAUSA300_0557,CP000255.1,630185,630832,+,648,10,2,8,10,8,4
SAUSA300_0558,CP000255.1,631334,632734,+,1401,74,293,70,56,328,292
SAUSA300_0559,CP000255.1,633278,634654,+,1377,6,5,4,0,4,1
SAUSA300_0560,CP000255.1,634656,635795,+,1140,57,23,42,56,25,24
SAUSA300_0561,CP000255.1,635770,636135,+,366,2,4,1,0,3,0
SAUSA300_0562,CP000255.1,637282,638112,-,831,160,206,159,191,144,212
SAUSA300_0563,CP000255.1,638296,638952,+,657,12,6,7,13,9,21
SAUSA300_0564,CP000255.1,638953,639333,+,381,10,21,6,4,22,23
SAUSA300_0565,CP000255.1,639466,639834,+,369,20,34,20,24,32,31
SAUSA300_0566,CP000255.1,639955,641439,+,1485,184,253,180,162,329,345
SAUSA300_0567,CP000255.1,641581,642033,-,453,23,44,30,34,37,46
SAUSA300_0568,CP000255.1,642046,642696,-,651,47,75,63,31,64,55
SAUSA300_0569,CP000255.1,643359,644111,-,753,54,101,48,68,67,78
SAUSA300_0570,CP000255.1,644279,645265,+,987,1115,1192,1116,1044,1279,1170
SAUSA300_0571,CP000255.1,645340,646104,+,765,557,703,642,609,653,686
SAUSA300_0572,CP000255.1,646691,647611,+,921,32,57,26,41,25,28
SAUSA300_0573,CP000255.1,647616,648599,+,984,629,864,399,572,857,735
SAUSA300_0574,CP000255.1,648612,649688,+,1077,459,571,362,368,736,763
SAUSA300_0575,CP000255.1,649865,650206,+,342,40,39,34,40,72,66
SAUSA300_0576,CP000255.1,650258,651580,-,1323,31,54,31,26,66,50
SAUSA300_0577,CP000255.1,651567,651983,-,417,4,6,8,3,3,2
SAUSA300_0578,CP000255.1,652065,652166,+,102,0,0,0,0,0,0
SAUSA300_0579,CP000255.1,652632,654041,+,1410,13,20,4,16,22,17
SAUSA300_0580,CP000255.1,654045,654671,+,627,0,0,0,0,0,0
SAUSA300_0581,CP000255.1,654797,655438,+,642,0,0,0,0,4,0
SAUSA300_0582,CP000255.1,655598,656143,+,546,0,0,0,0,0,0
SAUSA300_0583,CP000255.1,657043,657663,+,621,0,0,0,0,2,0
SAUSA300_0584,CP000255.1,657794,658435,+,642,0,0,0,0,0,0
SAUSA300_0585,CP000255.1,659564,660193,+,630,0,0,0,2,0,0
SAUSA300_0586,CP000255.1,660389,660958,+,570,0,4,0,4,0,0
SAUSA300_0587,CP000255.1,660995,661630,+,636,2,2,3,3,4,3
SAUSA300_0588,CP000255.1,661865,662491,+,627,3,10,2,5,2,0
SAUSA300_0589,CP000255.1,662761,663699,+,939,93,75,98,88,144,115
SAUSA300_0590,CP000255.1,663910,664446,+,537,159,274,164,166,260,232
SAUSA300_0591,CP000255.1,664615,665091,+,477,2,0,0,14,0,2
SAUSA300_0592,CP000255.1,665131,666426,+,1296,140,156,155,111,127,148
SAUSA300_0593,CP000255.1,666454,666975,+,522,29,39,37,26,42,49
SAUSA300_0594,CP000255.1,667474,668484,+,1011,10314,3274,6739,11658,3428,3085
SAUSA300_0595,CP000255.1,668792,669175,+,384,0,2,0,2,2,0
SAUSA300_0596,CP000255.1,669172,670833,+,1662,45,26,46,53,59,73
SAUSA300_0597,CP000255.1,671221,671856,+,636,0,0,0,0,4,0
SAUSA300_0598,CP000255.1,672295,673122,+,828,24,110,17,6,106,106
SAUSA300_0599,CP000255.1,673270,674220,+,951,16,32,11,14,34,26
SAUSA300_0600,CP000255.1,674275,674994,+,720,20,101,23,25,67,86
SAUSA300_0601,CP000255.1,674978,675778,+,801,42,120,107,52,119,181
SAUSA300_0602,CP000255.1,675914,676420,+,507,6936,5603,4453,7683,5446,4435
SAUSA300_0603,CP000255.1,676582,677298,+,717,112,168,120,70,207,200
SAUSA300_0604,CP000255.1,677467,678255,+,789,346,469,422,409,411,566
SAUSA300_0605,CP000255.1,678506,678880,-,375,4486,2285,3318,4979,3474,2685
SAUSA300_0606,CP000255.1,679828,680721,-,894,11,6,8,16,25,17
SAUSA300_0607,CP000255.1,680952,681176,-,225,0,0,0,0,0,0
SAUSA300_0608,CP000255.1,681193,681396,-,204,0,0,0,0,0,0
SAUSA300_0609,CP000255.1,681555,682115,+,561,0,0,0,0,0,0
SAUSA300_0610,CP000255.1,682134,684536,+,2403,0,0,0,0,0,0
SAUSA300_0611,CP000255.1,684523,684948,+,426,0,0,0,0,0,0
SAUSA300_0612,CP000255.1,684945,685289,+,345,1,11,2,1,12,7
SAUSA300_0613,CP000255.1,685279,686775,+,1497,8,11,11,10,16,20
SAUSA300_0614,CP000255.1,686776,687258,+,483,1,1,0,3,5,1
SAUSA300_0615,CP000255.1,687255,687557,+,303,0,7,2,2,2,1
SAUSA300_0616,CP000255.1,687532,687969,+,438,17,21,24,10,16,16
SAUSA300_0617,CP000255.1,688348,690351,+,2004,409,910,562,417,998,960
SAUSA300_0618,CP000255.1,691511,692440,-,930,376,459,373,352,496,569
SAUSA300_0619,CP000255.1,692437,693273,-,837,352,473,411,293,537,600
SAUSA300_0620,CP000255.1,693267,694010,-,744,94,63,81,99,93,122
SAUSA300_0621,CP000255.1,694132,694776,+,645,280,351,258,258,299,416
SAUSA300_0622,CP000255.1,694856,695608,-,753,4,30,8,4,27,12
SAUSA300_0623,CP000255.1,695844,696608,+,765,8,34,2,14,32,18
SAUSA300_0624,CP000255.1,696669,697463,-,795,176,347,170,168,319,359
SAUSA300_0625,CP000255.1,697810,698622,+,813,68,272,66,50,259,234
SAUSA300_0626,CP000255.1,698721,699824,+,1104,29,134,30,40,131,141
SAUSA300_0627,CP000255.1,699821,700882,+,1062,78,232,84,96,196,209
SAUSA300_0628,CP000255.1,700945,701343,+,399,7,44,21,23,36,68
SAUSA300_0629,CP000255.1,701460,702755,-,1296,16,46,22,12,44,24
SAUSA300_0630,CP000255.1,703176,704903,+,1728,8617,15495,9068,8304,14430,15329
SAUSA300_0631,CP000255.1,705262,706491,+,1230,364,650,276,330,682,670
SAUSA300_0632,CP000255.1,707016,707849,+,834,72,136,111,132,162,210
SAUSA300_0633,CP000255.1,708131,708928,+,798,189,137,207,225,114,174
SAUSA300_0634,CP000255.1,708964,709968,+,1005,98,68,77,55,81,74
SAUSA300_0635,CP000255.1,709965,710981,+,1017,96,85,76,74,89,83
SAUSA300_0636,CP000255.1,711215,712183,+,969,264,408,179,212,461,350
SAUSA300_0637,CP000255.1,712225,712809,+,585,70,139,55,68,111,167
SAUSA300_0638,CP000255.1,712802,713164,+,363,113,164,82,100,182,190
SAUSA300_0639,CP000255.1,713280,713777,+,498,112,214,149,116,179,236
SAUSA300_0640,CP000255.1,714233,715300,+,1068,76,247,51,77,207,210
SAUSA300_0641,CP000255.1,715451,716494,+,1044,20,14,7,7,10,18
SAUSA300_0642,CP000255.1,716823,717251,+,429,8,64,6,10,52,48
SAUSA300_0643,CP000255.1,717460,717966,-,507,56,121,68,77,114,155
SAUSA300_0644,CP000255.1,718079,719002,+,924,17,62,23,28,85,60
SAUSA300_0645,CP000255.1,719018,719692,+,675,32,58,20,37,55,50
SAUSA300_0646,CP000255.1,719685,720725,+,1041,71,146,75,58,137,129
SAUSA300_0647,CP000255.1,720869,721630,+,762,26,67,36,23,62,64
SAUSA300_0648,CP000255.1,721620,723509,+,1890,67,192,58,46,165,189
SAUSA300_0649,CP000255.1,724234,724851,+,618,65,93,47,45,101,113
SAUSA300_0650,CP000255.1,724867,725874,+,1008,110,255,88,115,220,241
SAUSA300_0651,CP000255.1,726462,727259,-,798,136,102,75,133,153,128
SAUSA300_0652,CP000255.1,727620,728264,+,645,61,72,47,42,89,90
SAUSA300_0653,CP000255.1,728961,730940,+,1980,2,8,2,2,9,7
SAUSA300_0654,CP000255.1,731190,731615,+,426,0,2,2,6,6,0
SAUSA300_0655,CP000255.1,731805,732521,+,717,207,435,193,221,437,409
SAUSA300_0656,CP000255.1,732521,732994,+,474,111,201,98,102,181,162
SAUSA300_0657,CP000255.1,733347,733991,+,645,195,327,156,147,361,320
SAUSA300_0658,CP000255.1,734107,734973,+,867,205,427,300,172,442,445
SAUSA300_0659,CP000255.1,735243,736463,+,1221,89,155,51,43,167,179
SAUSA300_0660,CP000255.1,736460,736948,+,489,13,15,17,4,35,55
SAUSA300_0661,CP000255.1,737047,737736,-,690,4,6,4,0,4,7
SAUSA300_0662,CP000255.1,737863,738306,+,444,2,2,2,2,2,4
SAUSA300_0663,CP000255.1,738373,738768,+,396,9,19,11,5,14,26
SAUSA300_0664,CP000255.1,738906,739205,+,300,7,17,18,11,8,30
SAUSA300_0665,CP000255.1,739285,739827,+,543,0,4,6,0,6,2
SAUSA300_0666,CP000255.1,739923,740489,-,567,855,288,578,873,385,301
SAUSA300_0667,CP000255.1,740491,740949,-,459,183,222,207,173,197,178
SAUSA300_0668,CP000255.1,740952,741635,-,684,1342,1580,1276,1336,1192,1397
SAUSA300_0669,CP000255.1,741807,742682,-,876,24,52,18,20,62,60
SAUSA300_0670,CP000255.1,742895,744526,+,1632,220,739,275,253,774,776
SAUSA300_0671,CP000255.1,744523,746196,+,1674,335,772,358,308,705,758
SAUSA300_0672,CP000255.1,746323,746766,-,444,1151,1426,944,1108,1484,1431
SAUSA300_0673,CP000255.1,746993,747919,+,927,27,47,20,43,52,52
SAUSA300_0674,CP000255.1,748022,748930,+,909,28,42,18,25,41,64
SAUSA300_0675,CP000255.1,748965,749252,+,288,2,1,0,0,4,1
SAUSA300_0676,CP000255.1,749535,751088,+,1554,386,1004,400,411,916,1002
SAUSA300_0677,CP000255.1,751174,752547,+,1374,773,1549,855,789,1543,1551
SAUSA300_0678,CP000255.1,752983,753600,-,618,16,69,17,24,61,61
SAUSA300_0679,CP000255.1,753786,754208,-,423,41,72,33,39,87,87
SAUSA300_0680,CP000255.1,754417,755583,+,1167,98,448,94,86,482,431
SAUSA300_0681,CP000255.1,755876,756328,+,453,0,4,2,2,4,12
SAUSA300_0682,CP000255.1,756502,756984,+,483,48,70,34,56,66,88
SAUSA300_0683,CP000255.1,757237,757998,+,762,30,184,10,26,194,146
SAUSA300_0684,CP000255.1,757995,758915,+,921,68,1252,48,72,870,975
SAUSA300_0685,CP000255.1,758921,760879,+,1959,336,7976,403,471,6329,6534
SAUSA300_0686,CP000255.1,761187,762368,+,1182,18,8,6,18,20,18
SAUSA300_0687,CP000255.1,762589,763938,+,1350,44,94,49,42,103,94
SAUSA300_0688,CP000255.1,764160,764999,+,840,279,224,420,297,207,245
SAUSA300_0689,CP000255.1,765131,766114,+,984,606,443,809,669,512,534
SAUSA300_0690,CP000255.1,766186,767241,-,1056,1221,276,1724,1147,306,426
SAUSA300_0691,CP000255.1,767241,767927,-,687,973,269,1669,974,253,335
SAUSA300_0692,CP000255.1,767902,768375,-,474,568,112,532,571,90,124
SAUSA300_0693,CP000255.1,768717,769157,-,441,262,30,214,303,27,41
SAUSA300_0694,CP000255.1,769437,770021,-,585,8,2,3,5,6,2
SAUSA300_0695,CP000255.1,770120,770833,-,714,110,104,80,107,107,86
SAUSA300_0696,CP000255.1,770837,771256,-,420,64,65,50,38,66,44
SAUSA300_0697,CP000255.1,771258,771926,-,669,21,0,7,23,7,0
SAUSA300_0698,CP000255.1,772277,772870,+,594,0,2,1,1,3,3
SAUSA300_0699,CP000255.1,772854,774005,+,1152,11,13,7,13,16,25
SAUSA300_0700,CP000255.1,774005,774613,+,609,21,18,39,14,17,22
SAUSA300_0701,CP000255.1,774973,775683,+,711,44,40,31,24,36,43
SAUSA300_0702,CP000255.1,775667,776671,+,1005,60,58,65,54,49,60
SAUSA300_0703,CP000255.1,777145,779085,+,1941,1064,3719,1297,1076,3646,4068
SAUSA300_0704,CP000255.1,779356,781239,+,1884,76,117,87,62,134,102
SAUSA300_0705,CP000255.1,781251,783032,+,1782,343,338,375,333,330,270
SAUSA300_0706,CP000255.1,783254,784231,+,978,184,288,126,179,252,263
SAUSA300_0707,CP000255.1,784224,785738,+,1515,470,868,495,419,834,836
SAUSA300_0708,CP000255.1,785978,787036,+,1059,29,19,24,37,12,13
SAUSA300_0709,CP000255.1,787387,787929,+,543,131,69,94,166,47,84
SAUSA300_0710,CP000255.1,788042,788140,+,99,12,9,9,12,14,5
SAUSA300_0711,CP000255.1,788553,789470,-,918,558,700,681,570,710,704
SAUSA300_0712,CP000255.1,789740,791245,-,1506,264,281,310,308,314,272
SAUSA300_0713,CP000255.1,791586,792086,-,501,16,18,26,17,18,6
SAUSA300_0714,CP000255.1,792106,792972,-,867,41,21,50,28,32,45
SAUSA300_0715,CP000255.1,793773,794171,+,399,65,168,117,118,135,171
